ensembl,gene,new_clumn
ENSMUSG00000021700,Rab3c,LS_In.P
ENSMUSG00000022391,Rangap1,LS_In.P
ENSMUSG00000024268,Celf4,LS_In.P
ENSMUSG00000024897,Apba1,LS_In.P
ENSMUSG00000025104,Hdgfl3,LS_In.P
ENSMUSG00000027546,Atp9a,LS_In.P
ENSMUSG00000028176,Lrrc7,LS_In.P
ENSMUSG00000028524,Sgip1,LS_In.P
ENSMUSG00000029405,G3bp2,LS_In.P
ENSMUSG00000030839,Sergef,LS_In.P
ENSMUSG00000031099,Smarca1,LS_In.P
ENSMUSG00000033676,Gabrb3,LS_In.P
ENSMUSG00000034796,Cpne7,LS_In.P
ENSMUSG00000034958,Atcay,LS_In.P
ENSMUSG00000035566,Pcdh17,LS_In.P
ENSMUSG00000035653,Lrfn5,LS_In.P
ENSMUSG00000036667,Tcaf1,LS_In.P
ENSMUSG00000037386,Rims2,LS_In.P
ENSMUSG00000037492,Zmat4,LS_In.P
ENSMUSG00000039419,Cntnap2,LS_In.P
ENSMUSG00000040785,Ttc3,LS_In.P
ENSMUSG00000041852,Tcf20,LS_In.P
ENSMUSG00000046178,Nxph1,LS_In.P
ENSMUSG00000049252,Lrp1b,LS_In.P
ENSMUSG00000049281,Scn3b,LS_In.P
ENSMUSG00000049583,Grm5,LS_In.P
ENSMUSG00000051855,Mest,LS_In.P
ENSMUSG00000061911,Myt1l,LS_In.P
ENSMUSG00000062296,Trank1,LS_In.P
ENSMUSG00000064293,Cntn4,LS_In.P
ENSMUSG00000097451,Rian,LS_In.P
ENSMUSG00000008658,Rbfox1,LS_In.Q
ENSMUSG00000020297,Nsg2,LS_In.Q
ENSMUSG00000021301,Hecw1,LS_In.Q
ENSMUSG00000022212,Cpne6,LS_In.Q
ENSMUSG00000024268,Celf4,LS_In.Q
ENSMUSG00000028176,Lrrc7,LS_In.Q
ENSMUSG00000031099,Smarca1,LS_In.Q
ENSMUSG00000033676,Gabrb3,LS_In.Q
ENSMUSG00000034796,Cpne7,LS_In.Q
ENSMUSG00000035653,Lrfn5,LS_In.Q
ENSMUSG00000036667,Tcaf1,LS_In.Q
ENSMUSG00000037492,Zmat4,LS_In.Q
ENSMUSG00000039419,Cntnap2,LS_In.Q
ENSMUSG00000040785,Ttc3,LS_In.Q
ENSMUSG00000041852,Tcf20,LS_In.Q
ENSMUSG00000049252,Lrp1b,LS_In.Q
