"Aqp4.Rbpms_1vAll","Aqp4.Rbpms_pw","Astro_1vAll","Astro_pw","Endo_1vAll","Endo_pw","Ependymal_1vAll","Ependymal_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Excit_G_1vAll","Excit_G_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Inhib_G_1vAll","Inhib_G_pw","Inhib_H_1vAll","Inhib_H_pw","Inhib_I_1vAll","Inhib_I_pw","Inhib_J_1vAll","Inhib_J_pw","Inhib_K_1vAll","Inhib_K_pw","Inhib_L_1vAll","Inhib_L_pw","Inhib_M_1vAll","Inhib_M_pw","Inhib_N_1vAll","Inhib_N_pw","Inhib_O_1vAll","Inhib_O_pw","Inhib_P_1vAll","Inhib_P_pw","Inhib_Q_1vAll","Inhib_Q_pw","Micro_1vAll","Micro_pw","Mural_1vAll","Mural_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_COP_1vAll","OPC_COP_pw","OPC_pw"
"Ak7","Cfap61","Sfxn5","Sparcl1","Rasip1","Mecom","Eps8l2","Cdh3","Tenm3","Btg1","Btbd11","Patj","Sv2b","","Minar1","Vav2","Grik1","Olfm3","Xylt1","Dok6","C1ql3","","Sphkap","","Sox4","Kat6b","Coro6","","Baiap3","","Gm45904","Stac","Sh3rf2","","Nrg3","","Zfp618","Gpr158","Trpc7","","Elavl4","","Kcnmb2","Cdh4","Palmd","Specc1","Grip1os2","","Atp2b4","","Ripor2","","Gm15398","","Grk5","Gm10848","Csf1r","Fgd2","Tgfbr3","","A230001M10Rik","Phlpp1","Cacng4","Arhgap24","Nfasc","Myt1"
"Ttc29","Ak9","Slc39a12","Sfxn5","Abcg2","Rasip1","D630024D03Rik","D630024D03Rik","4921534H16Rik","Zbtb7c","Cntn6","Rnf112","Cdh13","","Cadps2","Nr4a2","Abi3bp","Fmn1","Cnih3","Bmpr1b","Pcsk5","","Gm1604a","","Dcx","Jpt1","Osbpl3","","Fam155a","","Nrp2","Pcdh11x","Zfp385b","","Grik1","","Gpr149","Cacna2d3","Srrm4","","Samd5","","Grin3a","Pxylp1","Hunk","Myo5b","Grik1","","Prkca","","Slc8a1","","Ryr2","","Cdh13","","Fgd2","Cyth4","Pdgfrb","","Edil3","Mast3","Myt1","Dusp15","Gm10863","Usp24"
"Cfap61","Dnah6","Gli3","Pla2g7","Sox17","Paqr5","Drc7","Col4a4","Epb41l4a","Eps8","Gm13629","Kidins220","Mmp16","","Vav2","Ror2","Olfm3","Grem2","Cdh6","Ano3","St8sia5","","Meis2","","Dpysl3","Lncppara","Lhx6","","Tro","","Sox1ot","Negr1","Plppr1","","Gm32509","","Fras1","Rasgrp1","Ebf4","","Gm48749","","Man1a","1110004F10Rik","Tcerg1l","Wipf3","Zmat4","","Prkg1","","Cdh18","","Pgap1","","Epha10","","Fcrls","Fcrls","Eya1","","Map7","Edil3","Matn4","Plxnb3","Cnksr3","Mtss2"
"Armc4","Ttc21a","Npas3","Slc27a1","Igfbp7","Cxcl12","Baiap2l1","Drc7","Sema5a","Epha3","Hdac9","Slc41a2","Vxn","","Cacnb3","Gm27151","Rnf152","Pcsk5","Cabp1","Cdh6","Khdrbs3","","8030451O07Rik","","Bcl11a","C130071C03Rik","Galntl6","","Vsnl1","","Sntb1","Folh1","Pde1b","","Cep112","","Isl1","Sipa1l2","Slc6a15","","Unc5d","","Kcnc2","Col25a1","Lzts1","Grin2b","Galnt14","","Grik3","","Schip1","","Schip1","","Chrm3","","Itgam","Itgam","Pld1","","Arhgap23","Litaf","Gm4876","Tmem108","Mpzl1","Calcrl"
"Ttc21a","Armc4","Pitpnc1","Etnppl","Emcn","Sox17","Col4a4","Folr1","Pcsk1","Klhl33","Nell1os","Ero1lb","Kcnmb4","","Gm29478","Plch2","Satb2","","Lmo3","","Fhl2","","Chn2","","Robo2","Pola1","Etl4","","Nxph1","","Furin","Tcerg1l","Phactr1","","Aff2","","Lrrk2","Zfyve28","Clstn2","","Srrm4","","Slc44a5","Trpc7","Ppm1e","Tnik","Galntl6","","Grm8","","Vsnl1","","Cpne8","","Col23a1","","Mir142hg","Mir142hg","Airn","","Mbp","Ypel2","Armh4","Pik3r3","Pik3r3","Cspg5"
"Dnah11","Dnah11","Fam20a","Phka1","Esam","Esam","Folr1","Baiap2l1","Gm12296","Cdh12","Nxph1","Rims3","Mpped1","","Kcnip1","Enox2","Grik3","","Gm2824","","Plekhg5","","Robo1","","Nfib","Gm26936","Tmem132c","","Zfp804b","","Rreb1","Slco3a1","Ryr3","","Meg3","","Krt12","Gucy1b1","Gm11418","","C130073E24Rik","","Grik1","","Lama3","Whrn","Zbtb16","","Nkain3","","Grip1","","Pcsk5","","A330008L17Rik","","Bin2","Bin2","Lamc1","","Rnf220","Hapln2","Kcnh8","Mpzl1","Sirt2","Kcnip3"
"Cfap77","Fbxl13","Ptprz1","St3gal4","Cxcl12","Xdh","Slc6a20a","Prlr","4930511M06Rik","Asic2","Htr7","","Frmpd4","","Nr4a2","Gm29478","B3glct","","E130114P18Rik","","Pex5l","","Oprm1","","Maml3","Tubb3","Alk","","Ly6h","","Zmat4","Pde1a","Baiap2","","Fam155a","","Fat3","Drd1","Scn9a","","Iqsec3","","Trpc7","","Kcnt2","Wasl","Erbb4","","8030451O07Rik","","Ptpn3","","A330008L17Rik","","Gfra2","","Slco2b1","Abi3","Grk5","","Tspan2","Gm42413","Dscam","Nfasc","9130019P16Rik","Mir9-3hg"
"Fbxl13","Cfap77","Ndrg2","Dtna","Xdh","Pecam1","Esrrb","Esrrb","Asic2","Grm8","Vwc2","","Dlc1","","Gm27151","Cdca7l","Adcy2","","St8sia5","","Ankrd33b","","Gm38505","","Meis2","Gm4258","Adamts17","","Meg3","","Scn5a","Gm15577","Ablim2","","C130073E24Rik","","Hcn1","Abcb9","Trpc5","","Fstl5","","Pam","","Chrm3","Sorcs1","Kcnip1","","Alk","","Ncald","","Pcdh15","","Grm1","","Abi3","Gna15","Ptgds","","Tubb4a","Kif13b","Sox10","Sirt2","Srpk3","Dpyd"
"3300002A11Rik","3300002A11Rik","Nhsl1","Ttyh1","Hmcn1","Sp100","Arhgap28","Enpp2","Ntng1","Pcsk1","Kcnip4","","Sel1l3","","Lrrc3b","Cnnm2","Frmpd4","","Syt17","","Mef2c","","Ryr1","","Vcan","Zmiz1","Kcnc1","","Grm5","","Thsd7b","Rragb","Pde7b","","Gm20642","","Gm1604a","Cacna1h","Asic2","","Lingo2","","Sytl5","","Brinp2","Ankrd29","St8sia5","","Ntn4","","Plekha7","","Slc16a11","","Palmd","","Gna15","P2ry6","Stk39","","Anln","Daam2","Nxph1","5830418P13Rik","Itpr2","Zeb1"
"Cfap65","Cfap43","Lama2","Tprkb","Pecam1","Ly6a","Prlr","Folr2","Chrm2","Ntm","4930509J09Rik","","Sdk1","","Plch2","Car10","Serpini1","","Pdzrn3","","Ryr2","","Tiam1","","Syne2","Dcx","Grik1","","Sntg1","","Gm38505","Glt1d1","Pde1c","","Gria4","","Col11a1","Inf2","Gm13629","","5330434G04Rik","","Nxph1","","Frmpd3","Pitpnm3","Pip5k1b","","Pax6","","Nkain3","","Hs3st2","","Sez6l","","P2ry6","Gm50035","Akap13","","4930420G21Rik","Nkain1","Gjc3","Gm10863","Abtb2","Gpt2"
