"Aqp4.Rbpms_1vAll","Aqp4.Rbpms_pw","Astro_1vAll","Astro_pw","Endo_1vAll","Endo_pw","Ependymal_1vAll","Ependymal_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Inhib_G_1vAll","Inhib_G_pw","Inhib_H_1vAll","Inhib_H_pw","Inhib_I_1vAll","Inhib_I_pw","Inhib_J_1vAll","Inhib_J_pw","Inhib_K_1vAll","Inhib_K_pw","Inhib_L_1vAll","Inhib_L_pw","Inhib_M_1vAll","Inhib_M_pw","Inhib_N_1vAll","Inhib_N_pw","Inhib_O_1vAll","Inhib_O_pw","Inhib_P_1vAll","Inhib_P_pw","Inhib_Q_1vAll","Inhib_Q_pw","Inhib_R_1vAll","Inhib_R_pw","Micro_1vAll","Micro_pw","Mural_1vAll","Mural_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_COP_1vAll","OPC_COP_pw","OPC_pw"
"Lrrc36","Gm10714","Dtna","Gm3764","Egfl7","Nostrin","Oca2","Oca2","5530401A14Rik","B130024G19Rik","Slc17a6","Slc17a6","Slc17a7","Sdk1","Chat","Necab3","Kcnt2","B3glct","Sidt1","R3hdm1","Gabrg3","","Dlx1as","Ezh2","Gpr176","Tafa2","Arhgap6","","Sgcd","Sgcd","Lrtm1","Mei4","Kcnb2","Kcnb2","Casz1","Krt12","Pdcd7","","Chrm2","","Trpc5","","Arhgap28","Aff2","Lrrfip1","Trpc3","Kcnmb2","Reln","Hs6st3","Ripor2","Hs3st2","","Gm41414","","Dgkg","Pkp2","Myo1f","Myo1f","Fbxl7","Eya1","Trf","A230001M10Rik","Vxn","Inava","Kif19a","Xylt1"
"Spag17","C230072F16Rik","Cpe","Gm20713","Nostrin","Klf2","Trpv4","Trpv4","Epha3","Gm11418","Vav3","Zfp804b","Etl4","Smurf1","Necab3","Tspan18","Chrm2","Kcnt2","Syt17","Nell2","Thsd7b","","Sox2ot","Nol4","Mkx","Mkx","Nkain3","","Crtac1","Ntng2","Gnal","Sh2d5","Ablim3","Pla2g3","Otof","Ndrg4","Fstl5","","Cacna2d2","","Elavl2","","Sst","Alk","Hectd2","Ssh1","Adra1b","Sorcs3","Tmem255a","Gm11844","Pip5k1b","","Arhgap6","","Gm41414","Slc18a2","Ly86","Ly86","Cald1","Adam12","Ugt8a","C030029H02Rik","Itga9","Gm36988","Rhbdl2","Stk32a"
"Gm10714","Dnah3","Acsl3","Ndrg2","Klf2","Zfp366","Gm534","Fap","Gm11418","Prkg2","Zmat4","Rnf112","Neurod2","Oprm1","1700003F12Rik","1700003F12Rik","Lcp1","Adcy2","Kcnh7","Gria3","Grin2a","","Gm4258","Robo2","Grip1os2","A530058N18Rik","Htr7","","Ahr","Furin","Pdzd2","Unc13c","Ptpro","Pcbp3","Htr4","Lrrk2","Lingo2","","Gm32509","","Nrg3os","","Aff2","Gm45025","Trpc4","Focad","Slc44a5","Slc2a13","Necab1","5730522E02Rik","Cpne7","","Myo5b","","Trpc4","Ghr","Ikzf1","Ikzf1","Bmp6","Dlc1","Plp1","Plekhh1","Epn2","Rhbdl2","Gm36988","Shc4"
"C230072F16Rik","Spag17","Nwd1","Cpe","Zfp366","Clec2d","Kcne2","Gm534","Pgm5","Pgm5","Rnf220","Cpne7","Col12a1","Sdk2","Ano1","Cpne9","Unc13b","Tmem200a","Cabp1","Gfod1","Slc35f1","","Pbx3","Ccdc88a","Elavl2","Kcnc1","Gm41414","","Tcerg1l","Pde11a","Adamts3","Spock3","Cpne4","Inpp5j","Sipa1l2","Sh3rf2","Snhg14","","Tshz3","","Gm20642","","9330158H04Rik","Ndst4","Trpc6","Kcnn3","Dlx6os1","Siah3","Ripor2","Sez6","Nxph1","","Gm15261","","4930473D10Rik","Epha10","Selplg","Selplg","Nr2f2","Cp","Plekhh1","Anln","Xylt1","Ust","Gm13187","Gm2164"
"Dthd1","Dnah11","Gm3764","Slc1a2","Clic5","Ly6c1","Fap","Kcne2","Shisa6","Clstn2","Nell1","Ptpn4","Cntnap4","Rab26","Tspan18","Vav3","Hs3st4","Abi3bp","C1ql3","","Erbb4","","C79798","Plppr3","Cntnap4","","Dscam","","Pde11a","Isl1","Adcy5","Nrg1","Dync1i1","Rasa2","Esrrg","Gucy1a1","Agbl4","","Iqsec3","","Ankrd55","","Chrm2","Sytl5","Dgkg","Brinp2","Chrna7","","Inpp4b","A330102I10Rik","Ryr2","","D030068K23Rik","","Ptpn3","Kcng3","Apbb1ip","Apbb1ip","Dlc1","Lamc1","Pstpip2","Ermn","Tnr","Kif19a","Arhgap24","Chst11"
"Dnah3","Dthd1","Paqr8","Rgs20","Ly6c1","Abcg2","Gm50011","Abca4","Clstn2","4921534H16Rik","Grid2ip","Hdac9","Gm17171","Mpped1","Cpne9","Kcnma1","9130024F11Rik","Unc13b","Ndst4","","Lypd1","","Sdk2","Dpysl3","Rnf144b","","Ralyl","","Npy1r","Npy1r","Prkch","Plppr1","Synpr","Ppp1r12b","Cdh9","Adamts3","Trpc5","","Dscam","","Galntl6","","Ndst4","Epb41l3","2010300C02Rik","Pdlim7","Grip1","","Tmem132c","Egfem1","Prkcd","","Ano2","","Hs3st2","Grk5","Cyth4","Abca9","Adam12","Add3","Pde8a","4930420G21Rik","Lhfpl3","Gm13187","Inava","Matn4"
"Cdhr3","Cdhr3","Sparcl1","Hepacam","Clec2d","Eng","Abca4","Gm50011","Prkg2","5530401A14Rik","Gm29478","Ano5","Grik3","","Vav3","Kctd8","Skap1","Stard5","Nell2","","Adamts3","","Gm26936","Nasp","Gm47027","","Ankfn1","","Pde1a","Gm45904","Phactr1","Kcna4","Kank3","Ccsap","Sv2c","Mme","Ece2","","Vwc2l","","Pdcd7","","Sox2ot","Gm45341","Focad","Ptpn5","Btbd11","","Epha3","Prkg1","Rasgrf2","","March1","","Shisa6","Gm45159","Cd84","Cd84","Ror1","March6","Zfp536","Map7","Plpp4","Bfsp2","Plxnb3","Zcchc24"
"Tmem212","Ak7","Gm20713","Htra1","Tie1","Igfbp7","Cdh3","Slc13a4","Grm8","Adamts18","Zfp804b","Eml1","Sdk2","","Cpne4","Cacnb3","Tmem200a","Gm28905","St8sia5","","Pcdh15","","Tiam2","Kat6b","A530058N18Rik","","Trhde","","Ntng2","Bmper","Sh3rf2","Gm15810","Frmd3","Lrba","Gucy1a1","Sptb","Car10","","Kcnc2","","Dscam","","Galnt14","Gm38505","Mob3b","Lama3","Rasgrf2","","Egfem1","","Cnih3","","Sv2c","","Nkain3","Stum","Nckap1l","Unc93b1","Gm29683","","C030029H02Rik","Tspan2","Calcrl","Cnksr3","Dusp15","6330576A10Rik"
"Ak9","Tmem212","Bmpr1b","9430041J12Rik","Paqr5","Emcn","Slc13a4","Otx2os1","Tmem163","Calb2","Ccdc136","Gm13629","Csmd2","","Kcnma1","Minar1","9330158H04Rik","Col12a1","Kcnj6","","Slc2a13","","Tox3","Jpt1","Vwc2","","Ripor2","","Gpr26","Sox1ot","Ryr3","Npas2","Ppm1e","Meis1","Mme","Sorbs2","Ube3a","","Gm48749","","Nrg3","","Sox6","B230216N24Rik","Gpc3","Hacd4","Synpr","","Cdh18","","Dgkg","","Sez6l","","Col26a1","4930567K20Rik","Unc93b1","Nckap1l","Bicc1","","Mobp","Ninj2","Arhgap31","Fyn","5830418P13Rik","Vcan"
"Hydin","Hydin","Farp1","Gja1","Eng","Tie1","Otx2os1","Eps8l2","Nrp2","Nefm","Cacna1g","Patj","Zfpm2","","Kctd8","Vav2","Etl4","Gm17167","Sphkap","","Gprin3","","Mpped2","Lncppara","Cntnap3","","D030068K23Rik","","Wdfy3","Col11a1","Neto1","Kcnq5","Chrm2","Fam171b","Gpr26","Gpr158","Cntnap4","","Samd5","","Agbl4","","Nell1","Cdh4","Shisa6","Specc1","Zfp536","","Gm11844","","Sez6l","","Nebl","","Slit1","Gfra2","Abca9","Csf1r","9530026P05Rik","","Enpp2","Mag","6330576A10Rik","Abtb2","Fyn","Ptprz1"
"Ak7","Ttc29","Sfxn5","Apoe","Rasip1","Mecom","Eps8l2","Cdh3","Tenm3","Btg1","Btbd11","Inpp5a","Sv2b","","Minar1","Nr4a2","Grik1","Sept3","Fhl2","","Sphkap","","Sox4","C130071C03Rik","Coro6","","Baiap3","","Gm45904","Cacng3","Plppr1","Lzts3","Nrip3","Snx7","Zfp618","Rasgrp1","Nrg3","","Trpc7","","Elavl4","","Kcnmb2","Pxylp1","Palmd","Myo5b","Grip1os2","","Atp2b4","","Ripor2","","Gm15398","","Grk5","","Csf1r","Fgd2","Tgfbr3","","A230001M10Rik","Phlpp1","Cacng4","Arhgap24","Nfasc","Myt1"
"Ttc29","Cfap61","Slc39a12","Sparcl1","Abcg2","Rasip1","D630024D03Rik","D630024D03Rik","4921534H16Rik","Zbtb7c","Cntn6","Kidins220","Cdh13","","Cadps2","Plch2","Abi3bp","Satb1","Grin2a","","Gm1604a","","Dcx","Pola1","Osbpl3","","Fam155a","","Nrp2","Stac","Ablim2","Bcr","Kcnj3","Abl2","Gpr149","Sipa1l2","Grik1","","Srrm4","","Samd5","","Grin3a","Col25a1","Hunk","Wipf3","Grik1","","Prkca","","Slc8a1","","Ryr2","","Cdh13","","Fgd2","Cyth4","Pdgfrb","","Edil3","Mast3","Myt1","Dusp15","Gm10863","Usp24"
"Cfap61","Ak9","Gli3","Sfxn5","Sox17","Paqr5","Drc7","Col4a4","Epb41l4a","Epha3","Gm13629","Slc41a2","Mmp16","","Vav2","Gdpd5","Olfm3","Olfm3","Kcnt2","","Meis2","","Dpysl3","Gm26936","Lhx6","","Tro","","Sox1ot","Pcdh11x","Mctp1","Penk","Cntnap4","Zfp385b","Fras1","Gucy1b1","Gm32509","","Ebf4","","Gm48749","","Man1a","1110004F10Rik","Tcerg1l","Grin2b","Zmat4","","Prkg1","","Cdh18","","Pgap1","","Epha10","","Fcrls","Fcrls","Eya1","","Map7","Edil3","Matn4","Plxnb3","Cnksr3","Mtss2"
"Armc4","Dnah6","Npas3","Pla2g7","Igfbp7","Cxcl12","Baiap2l1","Drc7","Sema5a","Eps8","Hdac9","Ero1lb","Vxn","","Cacnb3","Ror2","Rnf152","Fmn1","Pex5l","","8030451O07Rik","","Bcl11a","Tubb3","Galntl6","","Vsnl1","","Sntb1","Negr1","Pde1b","Lmo7","Pla2g3","Dync1i1","Isl1","Drd1","Cep112","","Slc6a15","","Unc5d","","Kcnc2","Trpc7","Lzts1","Tnik","Galnt14","","Grik3","","Schip1","","Schip1","","Chrm3","","Itgam","Itgam","Pld1","","Arhgap23","Litaf","Gm4876","Tmem108","Mpzl1","Calcrl"
"Ttc21a","Ttc21a","Pitpnc1","Slc27a1","Emcn","Sox17","Col4a4","Folr1","Pcsk1","Klhl33","Nell1os","Rims3","Kcnmb4","","Gm29478","Gm27151","Satb2","Grem2","Mpped1","","Chn2","","Robo2","Gm4258","Etl4","","Nxph1","","Furin","Folh1","Kcnab1","Rnf150","Pbx3","Apc","Lrrk2","Abcb9","Aff2","","Clstn2","","Srrm4","","Slc44a5","","Ppm1e","Whrn","Galntl6","","Grm8","","Vsnl1","","Cpne8","","Col23a1","","Mir142hg","Mir142hg","Airn","","Mbp","Ypel2","Armh4","Pik3r3","Pik3r3","Cspg5"
"Dnah11","Armc4","Fam20a","Etnppl","Esam","Esam","Folr1","Baiap2l1","Gm12296","Cdh12","Nxph1","","Mpped1","","Kcnip1","Enox2","Grik3","","Mlip","","Robo1","","Nfib","Zmiz1","Tmem132c","","Zfp804b","","Rreb1","Tcerg1l","Pde1c","Syndig1","Tshz1","Cacna1c","Krt12","Strn","Meg3","","Gm11418","","C130073E24Rik","","Grik1","","Lama3","Kalrn","Zbtb16","","Nkain3","","Grip1","","Pcsk5","","A330008L17Rik","","Bin2","Bin2","Lamc1","","Rnf220","Hapln2","Kcnh8","Mpzl1","Sirt2","Kcnip3"
"Cfap77","Fbxl13","Ptprz1","Phka1","Cxcl12","Xdh","Slc6a20a","Prlr","4930511M06Rik","Asic2","Htr7","","Frmpd4","","Nr4a2","Gm29478","B3glct","","Pdzrn3","","Oprm1","","Maml3","Dclk2","Alk","","Ly6h","","Zmat4","Slco3a1","Foxp1","","Kcnk12","Frmd3","Fat3","Cacna1h","Fam155a","","Scn9a","","Iqsec3","","Trpc7","","Kcnt2","Wasl","Erbb4","","8030451O07Rik","","Ptpn3","","A330008L17Rik","","Gfra2","","Slco2b1","Abi3","Grk5","","Tspan2","Gm42413","Dscam","Nfasc","9130019P16Rik","Mir9-3hg"
"Fbxl13","Cfap77","Ndrg2","Dtna","Xdh","Pecam1","Esrrb","Esrrb","Asic2","Grm8","Vwc2","","Dlc1","","Gm27151","Cdca7l","Adcy2","","Car10","","Gm38505","","Meis2","Stmn1","Adamts17","","Meg3","","Scn5a","Pde1a","Pde7b","","Dcx","Garem1","Hcn1","Brinp1","C130073E24Rik","","Trpc5","","Fstl5","","Pam","","Chrm3","Sorcs1","Kcnip1","","Alk","","Ncald","","Pcdh15","","Grm1","","Abi3","Gna15","Ptgds","","Tubb4a","Kif13b","Sox10","Sirt2","Srpk3","Dpyd"
"3300002A11Rik","3300002A11Rik","Nhsl1","St3gal4","Hmcn1","Sp100","Arhgap28","Enpp2","Ntng1","Ntm","Kcnip4","","Sel1l3","","Lrrc3b","Cnnm2","Frmpd4","","Galnt9","","Ryr1","","Vcan","Meis2","Kcnc1","","Grm5","","Thsd7b","Gm15577","Lmo7","","Epha3","Gabra5","Gm1604a","Zfyve28","Gm20642","","Asic2","","Lingo2","","Sytl5","","Brinp2","Pitpnm3","St8sia5","","Ntn4","","Plekha7","","Slc16a11","","Palmd","","Gna15","P2ry6","Stk39","","Anln","Daam2","Nxph1","5830418P13Rik","Itpr2","Zeb1"
"Cfap65","Cfap43","Lama2","Ttyh1","Pecam1","Ly6a","Prlr","Folr2","Chrm2","Pcsk1","4930509J09Rik","","Sdk1","","Plch2","Car10","Serpini1","","Clstn2","","Tiam1","","Syne2","","Grik1","","Sntg1","","Gm38505","Rragb","Fstl4","","Ipcef1","Ano3","Col11a1","Fam49a","Gria4","","Gm13629","","5330434G04Rik","","Nxph1","","Frmpd3","Neurl1a","Pip5k1b","","Pax6","","Nkain3","","Hs3st2","","Sez6l","","P2ry6","Gm50035","Akap13","","4930420G21Rik","Nkain1","Gjc3","Gm10863","Abtb2","Gpt2"
"Cfap43","Ccdc146","Nfia","Tprkb","Ly6a","Erg","Col9a3","F5","Tshz2","Ptchd1","Gm20754","","Cdh18","","Ror2","Gm4128","Cntn6","","Plekhg5","","Runx1t1","","Myt1","","Erbb4","","Lrfn5","","Slco3a1","Pde8b","Baiap2","","Gad1","Ppp3cc","Chn2","Osbpl8","Ahi1","","Pdzrn4","","Rtl4","","Klf5","","Pip5k1b","Ankrd29","Dner","","Rapgef4os1","","Nrp1","","Ccdc141","","Col25a1","","Gm50035","Ctss","Svil","","Ermn","Sept4","Abtb2","Gjc3","Nkx2-2","Nrxn2"
"Ccdc146","Dnah10","Ttyh1","Acsbg1","Sp100","Clic5","Cgnl1","Msx1","Klhl33","Ephb2","Atp10a","","Galnt9","","Klhl1","Sema3e","Mmp16","","Cacna2d1","","Gm26871","","Auts2","","Sh3rf3","","Snhg11","","Fstl1","Glt1d1","Dlgap2","","Inpp5j","Kcnk12","Sh3rf2","","Gm45321","","Rtl4","","Grik1","","Shisa6","","Syt7","Ppt1","Apba1","","Man1a","","Ralyl","","Scn5a","","B020031H02Rik","","Adap2","Slco2b1","Utrn","","Slc24a2","Cntn2","Lpcat2","Tmem163","4933423P22Rik","Ugdh"
"Vwa3a","Lmntd1","Msi2","Gpc5","Erg","Hmcn1","Folr2","Col9a3","Kitl","Rasal2","Fhod3","","Chrm3","","Gfra1","Pou6f2","Fmn1","","Miat","","Dpp6","","Ezh2","","Hcn1","","Cpne7","","Clic6","Tac1","Unc13c","","Ppp1r12b","Cacna2d1","Ppp1r2","","Kcnc2","","Ptprs","","Snhg11","","Dach2","","Ryr3","Dbn1","Nrip3","","Homer2","","Cntnap5b","","Fstl4","","Tcerg1l","","Ctss","Lcp2","Apod","","St6galnac3","Rab31","Prkcq","Tnr","9530059O14Rik","Dscam"
"Dnah10","Fam216b","Glul","Acsl3","Slc7a5","Cdh5","Msx1","Steap2","Nr2f2","Ak5","Srrm4","","Igsf21","","Ebf1","Ano1","2900026A02Rik","","Fam135b","","Inpp4b","","Plppr3","","Btbd11","","Lingo2","","Rerg","Ephb1","Cpne5","","Prkca","Eml5","Drd3","","Tshz2","","Rimbp2","","Cacna2d2","","Tox3","","Htr1f","Lzts1","Slc35f4","","Scn5a","","Il1rapl2","","Cnr1","","Gm12296","","Lcp2","Blnk","Rbms1","","Ninj2","Car2","Sh3bp4","Ptprj","Asap3","Sema3d"
"Fam216b","Adgb","Apoe","Ntsr2","Itm2a","Itm2a","F5","Sulf1","Gm42303","Pcp4","Adgra1","","Sulf1","","Prkcq","Dach1","Fam189a1","","Runx2","","Etl4","","Sox11","","Gria4","","Sez6l","","Slco5a1","Fstl1","Ano3","","Zmat4","Ppfia2","Fign","","Gm26871","","A330008L17Rik","","Vwc2l","","Trpc5","","Ptpn5","Htr1f","Gng2","","Ncald","","Epha10","","Grm8","","Pkp2","","Pik3ap1","Pik3ap1","Wls","","Dock10","Erbin","Chst11","A930009A15Rik","Gjc3","Ankrd11"
"Adgb","Ttll6","Htra1","Farp1","Slfn5","Slc7a5","Steap2","Tbc1d2","Elavl2","Ank3","Gm32647","","Prickle1","","Gdpd5","Gabbr2","Cpne4","","Ext1","","Sema5b","","Dclk2","","Cntnap5c","","Hs3st2","","Pld5","Dchs2","Gprin3","","Adarb2","Kcnj3","Wscd2","","Tenm1","","Cdh13","","Gm45321","","Adra1a","","Hectd2os","Nr3c2","Sorcs3","","A330102I10Rik","","Hs3st4","","Cdh8","","Nhs","","Blnk","Hk2","2610307P16Rik","","Hapln2","Ccp110","Gm32509","Srpk3","Slc1a1","Ampd3"
